22,-0.4,-0.04,-0.996,-0.713,0.081,0.188,9.753,329.87,33.2,4.2,0,0,39.915649,339.07,,1,1,1,1,,399,,,0.4
22.25,-0.45,-0.045,-1.171,-0.564,0.029,0.106,9.94,329.97,32.28,4.7,0,0,38.809553,339.67,,1,1,1,1,,399.5,,,0.4
22.5,-0.5,-0.05,-1.171,-0.564,0.029,0.106,9.94,329.97,32.28,4.7,0,0,38.809553,339.67,,1,1,1,1,,400,,,0.4
22.75,-0.55,-0.055,-1.217,-0.344,-0.034,0.044,10.11,329.97,32.28,4.7,0,0,38.809553,339.67,,1,1,1,1,,400.5,,,0.4
23,-0.6,-0.06,-1.217,-0.344,-0.034,0.044,10.11,329.97,32.28,4.7,0,0,38.809553,339.67,,1,1,1,1,,401,,,0.4
23.25,-0.65,-0.065,-1.127,-0.09,-0.062,0,10.225,329.97,32.28,5,0,0,38.809553,339.97,,1,1,1,1,,401.5,,,0.4
23.5,-0.7,-0.07,-1.127,-0.09,-0.062,0,10.225,329.97,32.28,5,0,0,38.809553,339.97,,1,1,1,1,,402,,,0.4
23.75,-0.75,-0.075,-0.912,0.174,-0.087,-0.021,10.298,329.97,32.28,5,0,0,38.809553,339.97,,1,1,1,1,,402.5,,,0.4
24,-0.8,-0.08,-0.912,0.174,-0.087,-0.021,10.298,329.97,32.28,5,0,0,38.809553,339.97,,1,1,1,1,,403,,,0.4
24.25,-0.85,-0.085,-0.598,0.404,-0.079,-0.035,10.291,329.87,30.43,5.9,0,0,36.585338,340.77,,1,1,1,1,,403.5,,,0.4
24.5,-0.9,-0.09,-0.598,0.404,-0.079,-0.035,10.291,329.87,30.43,5.9,0,0,36.585338,340.77,,1,1,1,1,,404,,,0.4
24.75,-0.95,-0.095,-0.223,0.584,-0.071,-0.054,10.251,329.87,30.43,5.9,0,0,36.585338,340.77,,1,1,1,1,,404.5,,,0.4
25,-1,-0.1,-0.223,0.584,-0.071,-0.054,10.251,329.87,30.43,5.9,0,0,36.585338,340.77,,1,1,1,1,,405,,,0.4
25.25,-1.05,-0.105,0.168,0.692,-0.041,-0.078,10.148,329.87,30.43,7.8,0,0,36.585338,342.67,,1,1,1,1,,405.5,,,0.4
25.5,-1.1,-0.11,0.168,0.692,-0.041,-0.078,10.148,329.87,30.43,7.8,0,0,36.585338,342.67,,1,1,1,1,,406,,,0.4
25.75,-1.15,-0.115,0.534,0.728,-0.019,-0.119,10.051,329.87,30.43,7.8,0,0,36.585338,342.67,,1,1,1,1,,406.5,,,0.4
26,-1.2,-0.12,0.534,0.728,-0.019,-0.119,10.051,329.87,30.43,7.8,0,0,36.585338,342.67,,1,1,1,1,,407,,,0.4
26.25,-1.25,-0.125,0.841,0.696,0.011,-0.169,9.931,329.67,30.43,6.1,0,0,36.585338,340.77,,1,1,1,1,,407.5,,,0.4
26.5,-1.3,-0.13,0.841,0.696,0.011,-0.169,9.931,329.67,30.43,6.1,0,0,36.585338,340.77,,1,1,1,1,,408,,,0.4
26.75,-1.35,-0.135,1.062,0.604,0.039,-0.205,9.821,329.67,30.43,6.1,0,0,36.585338,340.77,,1,1,1,1,,408.5,,,0.4
27,-1.4,-0.14,1.062,0.604,0.039,-0.205,9.821,329.67,30.43,6.1,0,0,36.585338,340.77,,1,1,1,1,,409,,,0.5
27.25,-1.45,-0.145,1.183,0.468,0.069,-0.178,9.714,329.67,32.28,7.2,0,0,38.809553,341.87,,1,1,1,1,,409.5,,,0.5
27.5,-1.5,-0.15,1.183,0.468,0.069,-0.178,9.714,329.67,32.28,7.2,0,0,38.809553,341.87,,1,1,1,1,,410,,,0.5
27.75,-1.55,-0.155,1.198,0.3,0.09,-0.114,9.633,329.67,32.28,7.2,0,0,38.809553,341.87,,1,1,1,1,,410.5,,,0.5
28,-1.6,-0.16,1.198,0.3,0.09,-0.114,9.633,329.67,32.28,7.2,0,0,38.809553,341.87,,1,1,1,1,,411,,,0.5
28.25,-1.65,-0.165,1.111,0.118,0.122,-0.013,9.557,329.77,34.12,8.8,0,0,41.021746,343.57,,1,1,1,1,,411.5,,,0.5
28.5,-1.7,-0.17,1.111,0.118,0.122,-0.013,9.557,329.77,34.12,8.8,0,0,41.021746,343.57,,1,1,1,1,,412,,,0.5
28.75,-1.75,-0.175,0.934,-0.07,0.151,0.076,9.507,329.77,34.12,8.8,0,0,41.021746,343.57,,1,1,1,1,,412.5,,,0.5
29,-1.8,-0.18,0.934,-0.07,0.151,0.076,9.507,329.77,34.12,8.8,0,0,41.021746,343.57,,1,1,1,1,,413,,,0.5
29.25,-1.85,-0.185,0.684,-0.239,0.17,0.108,9.502,329.97,35.04,9.3,0,0,42.127842,344.27,,1,1,1,1,,413.5,,,0.5
29.5,-1.9,-0.19,0.684,-0.239,0.17,0.108,9.502,329.97,35.04,9.3,0,0,42.127842,344.27,,1,1,1,1,,414,,,0.5
29.75,-1.95,-0.195,0.387,-0.382,0.194,0.109,9.503,329.97,35.04,9.3,0,0,42.127842,344.27,,1,1,1,1,,414.5,,,0.5
30,-2,-0.2,0.387,-0.382,0.194,0.109,9.503,329.97,35.04,9.3,0,0,42.127842,344.27,,1,1,1,1,,415,,,0.5
